repo_key,repo_url,python_ratio,java_ratio,javascript_ratio,typescript_ratio,kotlin_ratio,dart_ratio,swift_ratio,csharp_ratio,cpp_ratio,html_ratio,css_ratio,go_ratio,php_ratio,ruby_ratio,solidity_ratio,has_spring,has_fastapi,has_django,has_flask,has_express,has_nestjs,has_react,has_nextjs,has_vue,has_flutter,has_react_native,has_unity,has_unreal,has_pytorch,has_tensorflow,has_yolo,has_opencv,has_streamlit,has_docker,has_kubernetes,has_aws,has_terraform,has_github_actions,has_jenkins,has_solidity,kw_backend,kw_api,kw_database,kw_auth,kw_orm,kw_frontend,kw_ui,kw_seo,kw_ai,kw_model,kw_cv,kw_data,kw_devops,kw_container,kw_cloud,kw_monitoring,kw_mobile,kw_flutter,kw_kotlin,kw_swift,kw_game,kw_blockchain,profile_text_len,profile_token_count,profile_keyword_count,github_score,total_valid_loc,total_evidence_loc,total_commits_analyzed,has_tests,has_cicd,has_deployment,readme_has_image,test_ratio,source_file_count,avg_loc_per_file,readme_len,label
smtrz/TrendingGithubRepos,https://github.com/smtrz/TrendingGithubRepos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,4,1,1.1,0.0,11.0,3.0,0,0,0,0,0.03225806451612903,62.0,0.0,1105,모바일 앱
DeimanteValunaite/weather-app-swift,https://github.com/DeimanteValunaite/weather-app-swift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,10,4,40.5,2302.0,483.0,9.0,0,0,0,1,0.0,69.0,33.4,1500,모바일 앱
khushpanchal/NewsApp,https://github.com/khushpanchal/NewsApp,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,65,15,2,54.9,4105.0,167.0,14.0,1,0,0,0,0.06422018348623854,109.0,37.7,1500,모바일 앱
ivansaul/flutter_todo_app,https://github.com/ivansaul/flutter_todo_app,0.0,0.0,0.0,0.0,0.0015325670498084294,0.8490421455938697,0.016602809706257982,0.0,0.11775223499361429,0.015070242656449552,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,72,15,5,52.7,6975.0,1009.0,25.0,0,0,0,1,0.016,125.0,55.8,1500,모바일 앱
razinj/context_launcher,https://github.com/razinj/context_launcher,0.0,0.0,0.29411764705882354,0.0,0.3921568627450981,0.0,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,80,14,2,53.2,1646.0,12560.0,2.0,0,0,0,0,0.0,34.0,48.4,105,모바일 앱
rajatdiptabiswas/snake-pygame,https://github.com/rajatdiptabiswas/snake-pygame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,2,12.3,0.0,58.0,7.0,0,0,0,1,0.0,1.0,0.0,1330,게임 개발
dimitrisstyl7/computer-games-project,https://github.com/dimitrisstyl7/computer-games-project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,13,1,27.1,1709771.0,7445.0,73.0,0,0,0,1,0.00020312817387771684,4923.0,347.3,1500,게임 개발
StanislavPetrovV/Minecraft,https://github.com/StanislavPetrovV/Minecraft,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,6,1,37.4,1731.0,18.0,5.0,0,0,0,1,0.0,38.0,45.6,84,게임 개발
gdquest-demos/godot-3-beginner-2d-platformer,https://github.com/gdquest-demos/godot-3-beginner-2d-platformer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,6,1,0.0,0.0,0.0,0.0,0,0,0,1,0.0,164.0,0.0,1500,게임 개발
hdescottes/GdxGame,https://github.com/hdescottes/GdxGame,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,127,28,3,87.3,8562.0,1154.0,75.0,1,1,1,1,0.21544715447154472,246.0,34.8,1500,게임 개발
brunogarcia/smart-contracts-ethereum,https://github.com/brunogarcia/smart-contracts-ethereum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,118,19,3,5.4,0.0,7.0,1.0,1,0,0,0,0.07142857142857142,14.0,0.0,1500,블록체인
